Name,TotalDecRate,ApproDate,TotalReqRate
div5802622,0.000849,19740430,0.000849
div5802625,0.001415,19740430,0.001415
div5802627,0.0,20000106,0.0
div5802636,0.000849,19740430,0.000849
div5802651,0.0566,19950715,0.0566
div5802652,0.0283,19920515,0.0283
div5802653,0.0283,19950715,0.0283
div5802655,0.0,20000106,0.0
div5802656,0.0,20000106,0.0
div5802661,0.04245,19750601,0.04245
div5802662,0.0009339,19840801,0.0009339
div5802665,0.0283,20050912,0.0283
div5802666,0.0283,20050912,0.0283
div5802667,0.0283,20050912,0.0283
div5802668,0.0283,20050912,0.0283
div5802669,0.01415,20050912,0.01415
div5802764,0.0025187,20040630,0.0025187
div5802770,0.07075,18870720,0.07075
div5802771,0.07075,18870720,0.07075
div5802775,0.0566,19750601,0.0566
div5802776,0.0566,19750601,0.0566
div5802784,0.0015848,19960730,0.0015848
div5802785,0.0,19960730,0.0
div5802786,0.0,20000704,0.0
div5802787,0.0,20000704,0.0
div5802789,0.0283,20060707,0.0283
div5802790,0.0,20060707,0.0
div5802791,0.0283,20031006,0.0283
div5802792,0.01415,20031006,0.01415
div5802793,0.0283,20031006,0.0283
div5802794,0.0283,20031006,0.0283
div5802795,0.1698,19450415,0.1698
div5802796,0.00263756,19760601,0.00263756
div5802797,0.00263756,19760601,0.00263756
div5802798,0.0,20050812,0.0
div5802808,0.0,19580602,0.0
div5802809,0.0,19580602,0.0
div5802810,0.0,19580602,0.0
div5802811,0.0,19580602,0.0
div5802812,0.0,19580602,0.0
div5802813,1.298687,19580602,1.298687
div5802814,0.0,19580602,0.0
div5802815,0.0,19580602,0.0
div5802816,0.0,19580602,0.0
div5802817,0.0,19580602,0.0
div5802818,0.0,19580602,0.0
div5802819,0.0,19580602,0.0
div5802820,0.0,19580602,0.0
div5802821,0.0,19580602,0.0
div5802822,0.0,19580602,0.0
div5802823,0.0,19580602,0.0
div5802824,0.0,19630520,0.0
div5802825,0.0,19630520,0.0
div5802826,0.0,19630520,0.0
div5802827,0.0,19630520,0.0
div5802828,0.0,19630520,0.0
div5802829,0.0,19630520,0.0
div5802830,0.0,19630520,0.0
div5802831,0.0,19630520,0.0
