,dec_af,dec_cfs,div,lat,long,source,status,strname,strtype,wd,wdid
44,,2.85,6,40.625956,-107.026511,Chimney Creek,A,BARTH DRAKE DITCH,1,58,5800523
45,,4.633,6,40.405088,-106.812671,Yampa River,A,BARTHOLOMEW SEEP D,1,58,5800524
46,,4.633,6,40.405088,-106.812671,Yampa River,A,BARTHOLOMEW SEEP D,1,58,5800524
47,,2.951,6,40.466923,-106.782475,Burgess Creek,A,BASHOR DITCH 1,1,58,5800525
48,,,6,40.475671,-106.800979,Little Fish Creek,H,BATTON D HDGT 2,1,58,5800526
49,,,6,40.474842,-106.788818,Fish Creek,H,BATTON D,1,58,5800527
50,,1.2,6,40.101998,-106.957825,Bear River,A,BAUMFALK DITCH 1,1,58,5800528
51,,1.2,6,40.101998,-106.957825,Bear River,A,BAUMFALK DITCH 1,1,58,5800528
52,,,6,40.095903,-106.962354,Bear River,H,BAUMFALK DITCH 2,1,58,5800529
53,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
54,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
55,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
56,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
57,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
58,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
59,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
60,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
61,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
62,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
63,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
64,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
65,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
66,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
67,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
68,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
69,,49.6,6,40.384794,-106.831953,Yampa River,A,BAXTER DITCH,1,58,5800530
70,,0.1755,6,40.549761,-106.825596,Bear Creek,A,BEAR & LEE CREEK DITCH,1,58,5800531
71,,0.1755,6,40.549761,-106.825596,Bear Creek,A,BEAR & LEE CREEK DITCH,1,58,5800531
72,,0.1755,6,40.549761,-106.825596,Bear Creek,A,BEAR & LEE CREEK DITCH,1,58,5800531
73,,8.08,6,40.193942,-106.784456,Beaver Creek,A,BEAVER CREEK D,1,58,5800532
74,,8.08,6,40.193942,-106.784456,Beaver Creek,A,BEAVER CREEK D,1,58,5800532
75,,8.08,6,40.193942,-106.784456,Beaver Creek,A,BEAVER CREEK D,1,58,5800532
76,,3.33,6,40.092961,-106.842577,Beaver Creek,A,BEAVER DITCH,1,58,5800533
77,,1.6,6,40.591359,-106.907925,Yampa River,A,BELTON WASTE DITCH,1,58,5800534
78,,2.7,6,40.392341,-106.815557,McKinnis Creek,A,BEN T HIBBERT D,1,58,5800535
79,,2.33,6,40.659669,-106.866448,Big Creek,A,BIG CREEK CANAL D,1,58,5800537
80,,28.0,6,40.068444,-107.001315,Bear River,A,BIG MESA DITCH,1,58,5800539
81,,28.0,6,40.068444,-107.001315,Bear River,A,BIG MESA DITCH,1,58,5800539
82,,28.0,6,40.068444,-107.001315,Bear River,A,BIG MESA DITCH,1,58,5800539
83,,28.0,6,40.068444,-107.001315,Bear River,A,BIG MESA DITCH,1,58,5800539
84,,28.0,6,40.068444,-107.001315,Bear River,A,BIG MESA DITCH,1,58,5800539
85,,28.0,6,40.068444,-107.001315,Bear River,A,BIG MESA DITCH,1,58,5800539
86,,5.0,6,40.101626,-106.998533,Moody Creek,A,BIJOU DITCH,1,58,5800540
87,,11.55,6,40.146728,-106.905332,Bear River,A,BIRD DITCH,1,58,5800541
88,,11.55,6,40.146728,-106.905332,Bear River,A,BIRD DITCH,1,58,5800541
89,,11.55,6,40.146728,-106.905332,Bear River,A,BIRD DITCH,1,58,5800541
90,,11.55,6,40.146728,-106.905332,Bear River,A,BIRD DITCH,1,58,5800541
91,,11.55,6,40.146728,-106.905332,Bear River,A,BIRD DITCH,1,58,5800541
92,,11.55,6,40.146728,-106.905332,Bear River,A,BIRD DITCH,1,58,5800541
93,,11.55,6,40.146728,-106.905332,Bear River,A,BIRD DITCH,1,58,5800541
94,,11.55,6,40.146728,-106.905332,Bear River,A,BIRD DITCH,1,58,5800541
95,,11.55,6,40.146728,-106.905332,Bear River,A,BIRD DITCH,1,58,5800541
96,,11.55,6,40.146728,-106.905332,Bear River,A,BIRD DITCH,1,58,5800541
97,,11.55,6,40.146728,-106.905332,Bear River,A,BIRD DITCH,1,58,5800541
98,,,6,40.595121,-106.852798,Mad Creek,H,BISHOP RATCLIFF D 1,1,58,5800542
99,,4.5,6,40.169458,-106.905838,Yampa River,A,BLUFF DITCH,1,58,5800543
100,,4.5,6,40.169458,-106.905838,Yampa River,A,BLUFF DITCH,1,58,5800543
101,,1.5,6,40.150307,-107.003353,South Hunt Creek,A,BOMGARDNER DITCH,1,58,5800544
102,,2.0,6,40.329676,-106.812205,Green Creek,A,BONARD DITCH,1,58,5800545
103,,,6,40.402406,-106.896156,Cow Creek,H,BOOCO DITCH,1,58,5800546
104,,0.0,6,40.131197,-107.039632,South Hunt Creek,H,BOOR DITCH,1,58,5800547
105,,2.8,6,40.505501,-106.831718,Soda Creek,A,BORLAND DITCH,1,58,5800548
106,,12.83,6,40.654008,-107.029985,Smith Creek,A,BORLAND VAIL DITCH,1,58,5800549
107,,12.83,6,40.654008,-107.029985,Smith Creek,A,BORLAND VAIL DITCH,1,58,5800549
108,,12.83,6,40.654008,-107.029985,Smith Creek,A,BORLAND VAIL DITCH,1,58,5800549
109,,12.83,6,40.654008,-107.029985,Smith Creek,A,BORLAND VAIL DITCH,1,58,5800549
110,,12.83,6,40.654008,-107.029985,Smith Creek,A,BORLAND VAIL DITCH,1,58,5800549
111,,3.3,6,40.146595,-106.732596,Scott Creek,A,BOUTON DITCH 1,1,58,5800550
112,,1.65,6,40.151675,-106.735085,Scott Creek,A,BOUTON DITCH 2,1,58,5800551
113,,3.0,6,40.094237,-106.912277,Bowers Creek,A,BOWERS DITCH,1,58,5800552
114,,2.46,6,40.384681,-106.830595,Yampa River,A,BRENNER IRRIGATION SYSTEM,1,58,5800554
115,,2.46,6,40.384681,-106.830595,Yampa River,A,BRENNER IRRIGATION SYSTEM,1,58,5800554
116,,0.58,6,40.176708,-106.955085,Alkali Slough Creek,A,BRESSLER DITCH,1,58,5800555
117,,5.6,6,40.105801,-106.910266,Brinker Creek,A,BRINKER CREEK DITCH,1,58,5800556
118,,4.2,6,40.109248,-106.961646,Yampa River,A,BROADBROOKS DITCH,1,58,5800557
119,,5.0,6,40.109717,-106.956814,Yampa River,A,BROADBROOKS SEEPAGE D,1,58,5800558
120,,6.7,6,40.495333,-106.941356,Yampa River,A,BROOKS DITCH,1,58,5800559
121,,1.0,6,40.136621,-106.70848,Morrison Creek,A,BROWN DITCH,1,58,5800560
122,,5.0,6,40.369424,-106.87813,Oak Creek,A,BRUMBACK DITCH,1,58,5800561
123,,,6,40.39322,-106.808877,McKinnis Creek,U,BRUNNER DITCH,1,58,5800562
124,,1.0,6,40.389696,-106.80149,Yampa River,A,BRUNNER SEEP WASTE D,1,58,5800563
125,,22.73,6,40.095258,-106.963719,Bear River,A,BUCKINGHAM MANDALL D,1,58,5800564
126,,22.73,6,40.095258,-106.963719,Bear River,A,BUCKINGHAM MANDALL D,1,58,5800564
127,,22.73,6,40.095258,-106.963719,Bear River,A,BUCKINGHAM MANDALL D,1,58,5800564
128,,22.73,6,40.095258,-106.963719,Bear River,A,BUCKINGHAM MANDALL D,1,58,5800564
129,,22.73,6,40.095258,-106.963719,Bear River,A,BUCKINGHAM MANDALL D,1,58,5800564
130,,4.0,6,40.616113,-107.060423,Deep Creek,A,BUCKNER TURNER DITCH,1,58,5800565
131,,4.0,6,40.616113,-107.060423,Deep Creek,A,BUCKNER TURNER DITCH,1,58,5800565
132,,5.0,6,40.159148,-107.028011,Bull Creek,A,BULL CREEK D,1,58,5800566
133,,,6,40.406072,-106.791179,Walton Creek,H,BURGESS D,1,58,5800567
134,,19.7,6,40.610689,-106.954845,Elk River,A,BURNETT DITCH,1,58,5800568
135,,19.7,6,40.610689,-106.954845,Elk River,A,BURNETT DITCH,1,58,5800568
136,,19.7,6,40.610689,-106.954845,Elk River,A,BURNETT DITCH,1,58,5800568
137,,19.7,6,40.610689,-106.954845,Elk River,A,BURNETT DITCH,1,58,5800568
138,,19.7,6,40.610689,-106.954845,Elk River,A,BURNETT DITCH,1,58,5800568
139,,19.7,6,40.610689,-106.954845,Elk River,A,BURNETT DITCH,1,58,5800568
140,,19.7,6,40.610689,-106.954845,Elk River,A,BURNETT DITCH,1,58,5800568
141,,19.7,6,40.610689,-106.954845,Elk River,A,BURNETT DITCH,1,58,5800568
142,,14.49,6,40.143294,-107.017069,South Hunt Creek,A,BURNT MESA D,1,58,5800569
143,,15.0,6,40.130413,-107.032449,South Hunt Creek,A,BURNT MESA SUPPLY D,1,58,5800570
144,,,6,40.432956,-106.799072,Priest Creek,H,C E LAUB D,1,58,5800572
145,,3.25,6,40.241828,-106.96273,Little White Snake Creek,A,C R BROWN DITCH,1,58,5800573
146,,3.25,6,40.241828,-106.96273,Little White Snake Creek,A,C R BROWN DITCH,1,58,5800573
147,,5.77,6,40.225914,-106.942173,Hunt Creek,A,C R BROWN MOFFAT COAL D,1,58,5800574
148,,5.77,6,40.225914,-106.942173,Hunt Creek,A,C R BROWN MOFFAT COAL D,1,58,5800574
149,,2.5,6,40.25537,-106.901651,Raspberry Creek,A,C W DITCH,1,58,5800575
150,,,6,40.78378,-107.001344,Mill Creek,H,C & H MAYBURY D,1,58,5800576
151,,13.3,6,40.663922,-106.94444,Elk River,A,CAMPBELL DITCH,1,58,5800577
152,,13.3,6,40.663922,-106.94444,Elk River,A,CAMPBELL DITCH,1,58,5800577
153,,13.3,6,40.663922,-106.94444,Elk River,A,CAMPBELL DITCH,1,58,5800577
154,,2.45,6,40.678117,-107.044584,Cantrell Creek,A,CANTRELL DITCH,1,58,5800578
155,,0.17,6,40.675485,-107.045213,Cantrell Creek,A,CANTRELL DITCH 2,1,58,5800579
156,,1.0,6,40.066888,-106.838157,Chimney Creek,A,CHANNING DITCH,1,58,5800581
157,,6.0,6,40.103672,-106.95521,Bear River,A,CHARLES & A LEIGHTON D,1,58,5800582
158,,6.0,6,40.103672,-106.95521,Bear River,A,CHARLES & A LEIGHTON D,1,58,5800582
159,,5.0,6,40.49281,-106.967466,Elk River,A,CHARLES H KEMMER D,1,58,5800583
160,,5.0,6,40.49281,-106.967466,Elk River,A,CHARLES H KEMMER D,1,58,5800583
161,,5.0,6,40.49281,-106.967466,Elk River,A,CHARLES H KEMMER D,1,58,5800583
162,,5.0,6,40.49281,-106.967466,Elk River,A,CHARLES H KEMMER D,1,58,5800583
163,,5.0,6,40.49281,-106.967466,Elk River,A,CHARLES H KEMMER D,1,58,5800583
164,,,6,40.676702,-106.844135,Roaring Fork Creek,A,CHILTON DITCH,1,58,5800584
165,,,6,40.383192,-106.7887,McKinnis Creek,U,CHIPMAN DITCH,1,58,5800585
166,,,6,40.272395,-106.945043,Choke Cherry Creek,H,CHOKE CHERRY DITCH,1,58,5800586
